year,nodes,edges,density,is_connected,num_weakly_connected_components,total_trade_value,avg_trade_value,max_trade_value,median_trade_value,std_trade_value,usa_out_strength,usa_in_strength,usa_total_strength,usa_trade_share,chn_out_strength,chn_in_strength,chn_total_strength,chn_trade_share,rus_out_strength,rus_in_strength,rus_total_strength,rus_trade_share,sau_out_strength,sau_in_strength,sau_total_strength,sau_trade_share,are_out_strength,are_in_strength,are_total_strength,are_trade_share,nor_out_strength,nor_in_strength,nor_total_strength,nor_trade_share,qat_out_strength,qat_in_strength,qat_total_strength,qat_trade_share,aus_out_strength,aus_in_strength,aus_total_strength,aus_trade_share,deu_out_strength,deu_in_strength,deu_total_strength,deu_trade_share,jpn_out_strength,jpn_in_strength,jpn_total_strength,jpn_trade_share,kor_out_strength,kor_in_strength,kor_total_strength,kor_trade_share,ind_out_strength,ind_in_strength,ind_total_strength,ind_trade_share,gbr_out_strength,gbr_in_strength,gbr_total_strength,gbr_trade_share,fra_out_strength,fra_in_strength,fra_total_strength,fra_trade_share,ita_out_strength,ita_in_strength,ita_total_strength,ita_trade_share,esp_out_strength,esp_in_strength,esp_total_strength,esp_trade_share,nld_out_strength,nld_in_strength,nld_total_strength,nld_trade_share,bel_out_strength,bel_in_strength,bel_total_strength,bel_trade_share,can_out_strength,can_in_strength,can_total_strength,can_trade_share,mex_out_strength,mex_in_strength,mex_total_strength,mex_trade_share,bra_out_strength,bra_in_strength,bra_total_strength,bra_trade_share,arg_out_strength,arg_in_strength,arg_total_strength,arg_trade_share,ven_out_strength,ven_in_strength,ven_total_strength,ven_trade_share,col_out_strength,col_in_strength,col_total_strength,col_trade_share,irn_out_strength,irn_in_strength,irn_total_strength,irn_trade_share,irq_out_strength,irq_in_strength,irq_total_strength,irq_trade_share,kwt_out_strength,kwt_in_strength,kwt_total_strength,kwt_trade_share,omn_out_strength,omn_in_strength,omn_total_strength,omn_trade_share,idn_out_strength,idn_in_strength,idn_total_strength,idn_trade_share,tha_out_strength,tha_in_strength,tha_total_strength,tha_trade_share
2001,238,7743,0.13727263057121583,True,1,714860995151.1996,92323517.3900554,30264005038.0,187981.0,748234654.7856952,11131112218.139002,117999665490.415,129130777708.554,0.1806376044915441,6305837916.120999,16878355841.54,23184193757.661,0.032431750948668465,66425323996.79201,837749882.6,67263073879.392006,0.09409252195269831,89098046216.91399,75172248.215,89173218465.12898,0.12474203945938894,46646011714.959,460092198.93299997,47106103913.892,0.06589547371224055,30202164378.550003,954498671.5639999,31156663050.114002,0.043584225830539385,10605970110.26,14628900.0,10620599010.26,0.014856872989711304,17259947164.798004,5415852656.3029995,22675799821.101006,0.03172057221600805,7587461354.973999,40484826431.721,48072287786.695,0.06724704258976569,1136882509.848,69682383458.685,70819265968.533,0.09906718431819614,8003232751.297001,33573678490.0,41576911241.297,0.058160833397411904,3656060653.9679995,18205771539.496002,21861832193.464,0.030581934588332135,21025403948.109,14245464513.86,35270868461.969,0.04933947816597392,4113281770.283,27148835640.028,31262117410.311,0.04373174312538731,4669290423.577999,19644330684.023003,24313621107.601,0.034011676777047334,3357931862.7720003,16875933131.156,20233864993.928,0.028304614647003304,18686303734.522,18086462726.23,36772766460.752,0.05144044326124441,6156712671.026001,14527929517.418,20684642188.444,0.02893519485430732,31800040546.058,10891386094.726,42691426640.784,0.05971989929560274,13465742955.955,4971866815.0,18437609770.955,0.02579188107340404,1950877615.808,8067882991.786,10018760607.594,0.014014977283065977,4858357941.917,593619533.99,5451977475.907,0.007626626033434454,23401362895.676,520120808.79,23921483704.466,0.033463126211560036,4962146952.167,176047980.11,5138194932.276999,0.007187683993291905,26025969322.997997,522702108.0,26548671430.997997,0.03713822912576551,11466528534.93,1285141.936,11467813676.866001,0.016042019014396575,29651799372.59,30159210.194,29681958582.784,0.041521301041898356,10197622575.4,158989484.00599998,10356612059.406,0.014487588677593862,15490569695.53,5448647748.0,20939217443.53,0.02929131339597171,1652985032.525,7365067426.0,9018052458.525,0.012615113315306285
2002,238,7859,0.1393291493812715,True,1,693245107847.8059,88210345.82616185,27181051280.0,203841.0,687872582.349454,10601828125.738,117845226859.45999,128447054985.198,0.18528375250128284,7073593565.422999,18480709427.0,25554302992.423,0.0368618583862162,70901146233.38799,858655988.4449999,71759802221.833,0.1035128865815048,87672441552.72699,122015501.761,87794457054.48799,0.1266427358240547,30515283327.356003,636437986.96,31151721314.316,0.04493608532056891,30253031569.71599,858156303.211,31111187872.926987,0.04487761618616008,10645391911.487999,17906599.64,10663298511.127998,0.015381714764973149,17078501180.375004,5166647160.0,22245148340.375004,0.03208843176612603,8296425635.82,39098824034.964,47395249670.784,0.06836723279292017,1096888127.443,64904415601.0,66001303728.443,0.09520630290972473,5672813354.416999,31915290920.0,37588104274.417,0.054220511401962955,2449365739.575,20935235399.934998,23384601139.51,0.03373208245509007,20758147827.756,14410589619.373,35168737447.129,0.050730595930652995,3637985612.0209994,26894069502.934,30532055114.954998,0.04404222225201474,4225034831.558,19735018362.042,23960053193.6,0.03456216700610335,2813511356.1919994,17437306162.102,20250817518.294,0.029211627011928133,18326248476.088997,18192463439.6,36518711915.688995,0.05267792228503726,7369209658.154001,14790531803.292,22159741461.446,0.031965233090849185,28672883022.211,10271701208.42,38944584230.631,0.056177221865344684,15516477800.353,4168676700.0,19685154500.353,0.028395663059874995,2456075392.25,7174529797.0,9630605189.25,0.013892063687471834,4704423027.104,239667554.91,4944090582.014,0.007131807388245455,21757452293.708,187125625.819,21944577919.527,0.03165486156498732,4820027349.552,184233864.0,5004261213.552,0.007218602997557148,20910817061.376003,586327308.2,21497144369.576004,0.03100944258563085,9680060167.1,37603155.607999995,9717663322.708,0.014017644282953098,28498775157.364,49624865.0,28548400022.364,0.04118081714416003,9163930591.5,158183079.64,9322113671.14,0.01344706737286715,15329798690.872,6506161265.0,21835959955.872,0.03149818110316307,1797058832.8140001,7373655056.301001,9170713889.115002,0.013228674512519356
2003,236,7976,0.1438153624233682,True,1,869743303279.4481,109045048.05409352,37864919274.0,204918.5,866247644.9997842,13045402753.909996,158191204260.529,171236607014.439,0.19688177692058728,8548134807.283999,27997758000.294,36545892807.577995,0.04201917125406807,70443248543.43698,1100429363.981,71543677907.41798,0.08225838317772138,116580253489.752,205422678.081,116785676167.833,0.1342760280274441,35038297690.076996,404690965.65200007,35442988655.729,0.04075109118068274,36373509222.507996,1019909155.137,37393418377.645,0.042993626092491466,13303368037.917,21255546.252000008,13324623584.169,0.015320179567841761,18242591695.308,6842268120.287,25084859815.594997,0.028841682046886936,10633717909.498001,49824241433.012,60457959342.51,0.06951241718625212,1626053202.6299999,80169365114.565,81795418317.195,0.094045470667929,7579762784.578002,37964356215.93,45544119000.508,0.05236501256034931,3406011399.197,24977300511.719,28383311910.916,0.03263412526879377,24980645644.492,17709770087.22,42690415731.712006,0.049083925763778596,5057478306.872,33435630626.814,38493108933.686,0.04425801128740416,6012429538.499998,23860527113.374992,29872956651.874992,0.03434686595370867,4217661551.0870004,21067643491.647,25285305042.734,0.02907214685918639,21582950930.875,22081042689.22,43663993620.095,0.050203311086680226,10614927293.202,19408571839.152,30023499132.354,0.034519954357967,39345067585.82,13983347763.0,53328415348.82,0.061315120389821044,19745942054.802,5317778451.52,25063720506.322,0.028817376818903815,4218917294.2520003,7519991466.61,11738908760.862,0.013496980909883815,5497388840.296,268520024.0,5765908864.296,0.006629437493286931,25972283712.483,60762113.64,26033045826.123,0.029931872689290023,5075479593.849,226009653.14,5301489246.989,0.006095464290439767,32578114307.974003,1572716549.237,34150830857.211002,0.03926541397725296,8685916334.02,179209936.563,8865126270.583,0.010192807736669217,37449935655.62599,52111666.094,37502047321.71999,0.043118523799280814,19054133213.59,2766286385.158,21820419598.748,0.025088344476435837,18203766095.138,7591242765.740999,25795008860.878998,0.02965818622991004,2226044403.328,8896629938.0,11122674341.328,0.012788456432362191
2004,238,8460,0.14998404425061163,True,1,1023594271020.9265,120992230.61713062,26637786780.0,185707.72850000003,822294434.810189,18826265988.059,130649130938.187,149475396926.246,0.14602992724564604,9642712734.771002,46460642310.345,56103355045.116005,0.05481014952258268,99684036522.832,1301019102.7159998,100985055625.548,0.09865730835404748,113054735618.41,296036726.51100004,113350772344.921,0.11073799019201784,49072983337.770996,509217207.16300005,49582200544.934,0.04843931032896562,48355115382.526,1290344142.34,49645459524.866,0.04850111116326387,17306716686.786003,19602039.699999996,17326318726.486004,0.016926939918494113,23616117886.290005,9871359167.078,33487477053.368004,0.032715576866181366,17022093939.139004,62385964771.785,79408058710.92401,0.0775776701365502,1608565153.6669998,97284454909.681,98893020063.34799,0.09661349507624023,9343374542.008,48933004451.415,58276378993.423004,0.05693308437072289,4916759569.257999,7351263813.5929985,12268023382.850998,0.011985240373233966,28506525447.366,28600004501.933002,57106529949.299,0.05579020083059014,6706636502.141998,44855214554.468994,51561851056.61099,0.05037332907811561,7889874194.907999,30416225765.222015,38306099960.13001,0.0374231285233003,5547918019.698001,28108590163.363995,33656508183.061996,0.032880711758471654,28382548218.60001,28155636328.253002,56538184546.85301,0.05523495602458011,14002952627.014997,25677594550.988,39680547178.003,0.038765894164712225,8883945099.845,18610966181.097,27494911280.942,0.02686114221166825,24674259520.835,7111455091.64,31785714612.475,0.031053040752926572,4700871309.1119995,11442745409.91,16143616719.022,0.015771499681138754,6085921912.273,631036256.7,6716958168.973,0.0065621295069124876,17971138862.614998,73522169.313,18044661031.927998,0.01762872413688909,6636669024.203,374969164.11899996,7011638188.3220005,0.006850017030017798,41674156304.642,2769406717.459,44443563022.101,0.04341912052494517,16614310424.8,1911830637.562,18526141062.362,0.01809910585361536,51835657482.52901,136575851.0,51972233333.52901,0.0507742518739307,12369711454.216,205907585.853,12575619040.069,0.012285745823417082,22891906477.746002,11709939963.918,34601846441.664,0.03380425957948391,3210548922.1959996,13001891637.26,16212440559.456,0.015838737103604353
2005,236,8541,0.15400288496213488,True,1,1250948260677.016,146463910.62838274,20548825678.0,290794.0,835349862.0003246,27173100316.166,138561559577.164,165734659893.33002,0.13248722197641813,12542856503.011002,62370097425.44,74912953928.451,0.05988493392037488,137205554844.93602,1236197086.4299998,138441751931.36603,0.11066944675748702,117515546402.16899,363254823.626,117878801225.795,0.09423155611727596,46415171470.094,698766349.941,47113937820.035,0.03766257910182219,60642455126.25702,1902038949.47,62544494075.72702,0.04999766660363539,25481106983.461998,11880469.519,25492987452.981,0.020378930331766187,34455413405.496,13613313632.574,48068727038.07,0.03842583146648695,23791657948.943,63274173747.119995,87065831696.06299,0.06959986630377724,2965796610.1919994,85772805297.864,88738601908.056,0.07093706806069698,12642326207.511002,66210580702.728004,78852906910.23901,0.06303450701275498,7508235952.592001,12875748469.359001,20383984421.951004,0.016294826143264426,37778276650.898,43114522880.967,80892799531.865,0.0646651840645157,9574076517.396997,62211532005.659,71785608523.056,0.057384954102102884,10809640229.228,42170174569.97401,52979814799.20201,0.042351723460192676,7664726095.985998,39600536122.80601,47265262218.79201,0.03778354685365799,42232252018.68499,40968066249.28,83200318267.965,0.06650979971220936,22857063518.559,37283310668.247,60140374186.806,0.04807582861521218,12301474480.722,27703973965.0,40005448445.722,0.03198009838078432,8682666989.266,11692286225.69,20374953214.956,0.016287606654434315,7364277171.414,13821118726.846,21185395898.260002,0.016935469326920378,7010931495.937,1085358129.827,8096289625.764,0.00647212189366031,35734830626.689995,59772629.0,35794603255.689995,0.02861397579810205,8776346911.747,734388792.19,9510735703.937,0.007602820998200012,53862491232.545,4178515883.49,58041007116.034996,0.0463976080710349,17946255401.654,557166531.465,18503421933.119,0.014791516575677482,36464729908.836006,182235703.087,36646965611.923004,0.02929534878771851,17495180453.454002,362430230.71,17857610684.164,0.014275259213757906,28944299572.04,17418257266.257,46362556838.297,0.037061929973990666,4236965698.064,20616796147.296,24853761845.36,0.01986793748920446
2006,238,8931,0.15833421976385492,True,1,1568401164639.1133,175613163.6590654,25010249998.0,301952.0,989760761.2527999,30705522216.621998,158664497582.092,189370019798.71402,0.12074080539355361,12393183215.282,86609067661.429,99002250876.711,0.063123040908664,170761428929.41202,1516464048.9020002,172277892978.31403,0.10984300245527738,145203255988.892,651017918.9949999,145854273907.887,0.09299551492073002,67691977676.616005,1067001854.704,68758979531.32,0.04384017372694399,48715740297.83399,2124580733.3769999,50840321031.21099,0.032415380820575504,34442146987.708,75189526.992,34517336514.7,0.022007976844777708,39410124408.691,18004525820.168,57414650228.859,0.03660712037412318,29892194428.112007,75395059154.185,105287253582.297,0.06713030821200865,4972482476.167999,101890897421.139,106863379897.307,0.06813523370590974,19100995051.89,85166615412.25601,104267610464.14601,0.06648019194001162,13268909228.923,60067299543.439995,73336208772.36299,0.04675857836999091,41530517384.148994,36740497750.461,78271015134.60999,0.049904971316837826,12161294211.746,75971100193.45901,88132394405.20502,0.05619250762637896,13075330425.351,50093806430.67999,63169136856.03099,0.040276134881961856,8961171883.86,50758107214.634,59719279098.494,0.03807653325240633,51741612908.273994,53693867464.86001,105435480373.134,0.06722481642468975,30325926007.900005,45311273549.446,75637199557.34601,0.04822567163468666,13701935005.300001,30161322587.758,43863257593.058,0.027966861146236695,9314138906.43,13840693579.0,23154832485.43,0.014763335431951106,11293050713.166,17376960792.75,28670011505.916,0.0182797693296236,7247830775.485,1300578700.94,8548409476.424999,0.005450397302141748,37877163421.236,40474645.926,37917638067.162,0.024175981835544477,9422833394.865,931201743.0,10354035137.865,0.006601649738157041,66014742037.24799,2304881178.462,68319623215.70999,0.04356004366486825,28562615047.261,118621718.562,28681236765.823,0.018286926465285118,65794117001.74601,244389433.19,66038506434.93601,0.04210562190581602,21235131286.350998,344844531.94299996,21579975818.294,0.01375921945534867,32948415069.81,18850065884.332,51798480954.142,0.03302629590055217,6033632682.471,24942742014.864998,30976374697.336,0.019750287997563183
2007,237,9283,0.16596939140384753,True,1,1741182103821.9026,187566746.0758273,25914318394.0,348607.0,1075765956.6277173,39415964216.197,170234805827.07098,209650770043.26797,0.12040714729555489,12690496459.33,102014355062.985,114704851522.315,0.06587757321335737,196480961063.751,2092545999.01,198573507062.76102,0.11404522630165521,151482019458.872,552907290.4679999,152034926749.34,0.08731707408181065,74831455452.76001,1316984331.769,76148439784.529,0.04373375973563181,67326631141.82199,2757557567.4710007,70084188709.293,0.04025092410234282,36864566921.034,88399340.42,36952966261.453995,0.021222918717313983,43837744407.34001,20871420847.0,64709165254.34001,0.03716392737571969,28723753053.604996,77356912838.26999,106080665891.87498,0.06092450965296935,7405768498.599998,114403330016.882,121809098515.482,0.06995770186708815,21549057391.43,94307048570.65,115856105962.07999,0.06653876450244653,18631272515.309998,71503161336.331,90134433851.64099,0.0517662303407527,49902187586.898994,56065191242.914,105967378829.81299,0.06085944634809542,13890225354.453,79410731110.775,93300956465.228,0.05358483541752007,15416856126.953997,56771253282.44801,72188109409.40201,0.04145925302755454,10732418566.081999,57153610819.56999,67886029385.65199,0.0389884718184513,55029475109.49401,53597228560.82,108626703670.31401,0.06238675634896425,32192286579.687,45939424868.861,78131711448.548,0.044872797208889606,16339011355.937,33851847834.59,50190859190.527,0.028825738031856542,11533122912.629002,18717367809.3,30250490721.929,0.017373536435694486,12992933470.116999,22572706634.440002,35565640104.557,0.020426146137437467,6971364655.7890005,2186238810.212,9157603466.001,0.005259417407231569,20882000993.342003,69151975.471,20951152968.813004,0.012032717843139513,12230256034.449,958905615.0,13189161649.449,0.007574831845846985,63184953142.136,3199212616.85,66384165758.986,0.038125917796462794,36078808827.0,115113544.70300001,36193922371.703,0.020786982758585204,76320978181.312,225503800.36699998,76546481981.679,0.04396236431195745,23263457672.961998,487529986.47999996,23750987659.441998,0.01364072580766163,35428771943.426,21831058837.611,57259830781.037,0.03288560722933656,6200717797.214001,25093754385.283,31294472182.497,0.017973118442812783
2008,239,9512,0.16722337470553075,True,1,2355943883566.4307,247681232.50277856,28698382775.0,474715.1575,1314986999.7933888,74677852795.77798,201436079118.646,276113931914.42395,0.11719885768095731,17398135122.673996,117746341897.807,135144477020.481,0.05736319865815273,245298886720.851,3514271483.2619996,248813158204.113,0.1056108169382453,166281523248.222,870595886.956,167152119135.17798,0.07094910889054917,83079084494.81898,1816104170.834,84895188665.65298,0.036034469775714076,66635319055.43399,3507168426.1699996,70142487481.60399,0.029772562908171738,64123864898.819,128057697.12,64251922595.939,0.027272263590028455,74410528920.44199,30504646603.868,104915175524.30998,0.044532119910041856,35702353661.70601,91452223346.083,127154577007.789,0.053971819063577293,15355860193.194002,180704025868.697,196059886061.891,0.0832192512858563,33087832217.931,112341107523.367,145428939741.298,0.061728524501673404,26017827458.447998,113524547680.64699,139542375139.09497,0.05922992313715705,58722588622.48601,55474388078.223,114196976700.70901,0.04847185771158415,20127535993.616,114184128851.00499,134311664844.62099,0.05700970459504317,18867310086.652,74537503288.20303,93404813374.85504,0.03964645084561977,16033109933.882998,79571204610.22098,95604314544.10397,0.04058004743278437,66722009490.961,72625002213.662,139347011704.623,0.05914699950054808,43860011237.53802,47750441577.770996,91610452815.30902,0.03888481956396559,23899028301.593998,47880609824.5,71779638126.094,0.03046746513224835,13744598053.335,28212507114.32,41957105167.655,0.01780904267725608,22180794722.212,34629647654.22,56810442376.43201,0.024113665343519258,7897770949.340999,3473400761.818,11371171711.158998,0.0048265885238086845,78549787706.87901,319550290.74,78869337997.61902,0.03347674728068078,20614036728.114998,1796879085.134,22410915813.248997,0.009512499839055303,86650834767.91801,2566795714.904,89217630482.82202,0.03786916619922384,37058141363.869995,142792057.02600002,37200933420.895996,0.01579024597333837,84553495556.41899,358630790.12,84912126346.53899,0.036041659115411066,34554848557.347,556794593.1600001,35111643150.507,0.014903429319952628,50546475962.538994,30339959419.623,80886435382.16199,0.034332921062498314,10457677351.868,36170432384.990005,46628109736.858,0.019791689463448642
2009,240,9698,0.16907252440725243,True,1,1728969525622.626,178281039.96933645,23891801740.0,391975.251,1083630379.0397494,49543937954.381,167475838480.758,217019776435.13898,0.12551972329124028,12797958941.367994,120167185332.26399,132965144273.63199,0.07690427292276848,191007382330.607,2056624954.238,193064007284.845,0.11166420484786738,139624556618.16,226734303.475,139851290921.635,0.08088707686809726,75142164601.838,1707146612.706,76849311214.54399,0.044448042649490586,57763018415.862015,2671676407.361999,60434694823.224014,0.03495417005771726,45148999242.319,175692384.01,45324691626.329,0.02621485859330398,60076236945.228004,20366237030.129,80442473975.35701,0.04652625322958689,22143066312.875,66781601898.03697,88924668210.91197,0.051432177891561716,8379714027.490001,125397541004.793,133777255032.283,0.0773739808884763,21191812465.098995,90412336491.41101,111604148956.51001,0.06454951767661712,17388238457.104,81175432760.29001,98563671217.39401,0.05700717667762239,36103029928.689,49569266222.01,85672296150.699,0.0495510735620671,11540270918.946003,69270105853.76,80810376772.706,0.046739040552843204,10293066723.026,68175504908.38203,78468571631.40802,0.04538458918363549,9015418400.75,46397634769.31599,55413053170.06599,0.03204975700778241,56630072797.465,48314888460.618004,104944961258.08301,0.06069798206552592,27869731132.671,42103155130.443,69972886263.114,0.04047086153118621,30060279976.190998,29502506396.35,59562786372.541,0.03444987635111244,7028885524.611,15217943137.957,22246828662.568,0.012867102822160274,16677539858.469,19356489870.555,36034029729.024,0.02084133305706915,5997619282.316,2197871195.576,8195490477.892,0.004740101173813743,72770339706.64499,294404402.085,73064744108.73,0.04225912777867983,14718913034.883001,1220537875.85,15939450910.733002,0.009219046764281738,53126925865.838005,1223760271.023,54350686136.86101,0.03143530601980308,37901728836.171,273656877.398,38175385713.569,0.02207984880463495,66672541172.828995,265950184.698,66938491357.52699,0.03871583065260882,22417175591.594,845129628.3610001,23262305219.955,0.013454433334548174,36864756981.64101,18751346173.703,55616103155.34401,0.03216719689452935,6581998896.996,24146145394.237,30728144291.233,0.01777251931619059
2010,240,9940,0.17329149232914923,True,1,2114230810333.5398,212699276.6935154,32690826000.0,370983.5,1243943162.8533885,69665177653.184,188195621327.35898,257860798980.54297,0.12196435588783375,16096639860.934,132828828826.972,148925468687.906,0.07043955085699069,237017733741.826,3200826214.6800003,240218559956.50598,0.11361983695555418,132272432919.377,349518978.808,132621951898.185,0.06272822780274526,72521812840.247,2247691454.949,74769504295.196,0.03536487309226206,43279224808.28301,3505756129.787,46784980938.070015,0.022128606162299395,62870250654.961006,114317181.0,62984567835.961006,0.02979077191010408,74422920792.357,26633328259.825,101056249052.18199,0.047798115777264366,24140006147.414997,65171101573.98898,89311107721.40398,0.042242837104107055,11562328298.109999,142368262800.814,153930591098.92398,0.07280689995934739,29240825796.221996,97993451571.297,127234277367.519,0.06017993718833688,33711871358.218,109187624368.851,142899495727.069,0.06758935449650612,47220903187.15499,40481620675.30299,87702523862.45798,0.04148200065659911,12324207840.300999,79855902310.67499,92180110150.97598,0.04359983295127257,16419658120.428,85504966019.561,101924624139.989,0.04820884439003584,10832424270.695002,57518510877.98197,68350935148.67697,0.0323289845245865,76177880407.54799,69999444776.836,146177325184.38397,0.06913971949984171,34410694067.83402,45216173909.100006,79626867976.93402,0.037662334494298726,38854415285.592995,37778246853.151,76632662138.74399,0.036246119280919226,10129505588.628,23184399621.619,33313905210.247,0.015756985967388972,23624039634.645,29623168634.681,53247208269.326004,0.025185144407637194,5602367071.238001,3772614871.0,9374981942.238,0.004434228229205973,89458855049.53,233382727.181,89692237776.711,0.04242310600069309,22000074669.692,2087558826.376,24087633496.068,0.011393095483396135,84432948258.06902,1044843322.1580001,85477791580.22702,0.040429735089681194,49875578468.73399,552606315.17,50428184783.90399,0.023851787864139804,84163151395.625,265489102.43,84428640498.055,0.0399335020970277,30110140655.035,1389614757.0,31499755412.035,0.014898919861576333,48261216268.38701,27343020976.358,75604237244.74501,0.035759689469674186,7287399630.284001,30484689498.576,37772089128.86,0.01786564122717571
2011,240,10174,0.177370990237099,True,1,2682823004866.199,263694024.46099868,32079041211.0,396179.093,1426016849.7251878,93669285265.54198,230406787055.491,324076072321.03296,0.12079666520423163,17328093293.030994,178223719846.14304,195551813139.17404,0.072890314711211,315451117786.52203,6162780573.087999,321613898359.61005,0.11987891030316028,151116145353.768,660296266.0090001,151776441619.777,0.05657340843748526,106382245078.71698,2203259856.8,108585504935.51698,0.04047434539608493,56320259946.08,4185357250.466,60505617196.546005,0.02255296644124446,101058081633.78,404106381.019,101462188014.799,0.03781918815768438,91625748675.565,38790054906.818,130415803582.383,0.04861140796311579,33360238345.700996,68319386612.172005,101679624957.873,0.03790023597286996,14821857156.857,192169744440.889,206991601597.746,0.077154400876352,48855853342.17901,138746732798.67102,187602586140.85004,0.06992730634878627,49934318499.714,131619621015.236,181553939514.94998,0.06767272353995811,61770044091.198,60294787821.26299,122064831912.461,0.04549865260997669,17394257399.092003,111668810595.22801,129063067994.32,0.04810718700421938,22622084156.829002,105058011154.54199,127680095311.371,0.047591695419258125,17070702027.323002,77435067280.61201,94505769307.93501,0.0352262408427679,59631347573.94701,97927721886.42398,157559069460.37097,0.05872883495280336,47411017929.178,40970151150.59801,88381169079.776,0.032943346959328705,42340960819.988,51534590053.369,93875550873.357,0.034991332153884995,14596268159.027,11182835458.58,25779103617.607002,0.009608946833558514,31101914587.391994,41309694084.9,72411608672.29199,0.02699082591022563,4929312041.1449995,8501913310.48,13431225351.625,0.005006377732434442,69200764205.71301,1047006874.4169999,70247771080.13002,0.026184273413755635,36519928090.557,3846876907.962,40366804998.519,0.015046391403868336,83551458657.40302,276419230.17,83827877887.57301,0.031246145472706564,76963143804.504,741314356.691,77704458161.19499,0.028963691611504708,93660914876.21,172752689.11,93833667565.32,0.03497572049856482,38600323848.907,2353016708.0,40953340556.907,0.015265017663343568,66933835291.03099,40446625620.012,107380460911.043,0.04002517524125614,10030717596.974998,42169073915.086,52199791512.061,0.019457038879336867
