TerminalID,ProjectID,Wiki,TerminalName,UnitName,FacilityType,Status,Country,Owner,Parent,Capacity,CapacityUnits,CapacityInMtpa,CapacityInBcm/y,StartYear1,StartMonth1,StartYear2,StartYear3,StopYear,ShelvedYear,CancelledYear,Location,Region,LastUpdated,问题类型,优先级
T1166,0,https://www.gem.wiki/Botum_Sakor_LNG_Terminal,Botum Sakor LNG Terminal,,Import,Proposed,Cambodia,Government of Cambodia [100.00%],Government of Cambodia [100.00%],,,--,--,,,,,,,,Botum Sakor,Asia,2024/7/12,CapacityInBcm/y缺失(--),MEDIUM
T0673,0,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T0,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Marathon,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0673,1,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T1,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Terrace Bay,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0673,2,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T2,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Schreiber,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0673,3,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T3,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Manitouwadge,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0673,4,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T4,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Wawa,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0716,0,https://www.gem.wiki/Talcahuano_FSRU,Talcahuano FSRU,,Import,Shelved,Chile,Inversiones GNL Talcahuano SpA [100.00%],Inversiones GNL Talcahuano SpA [100.00%],2.3,mtpa,2.3,3.13,,,,,,,,,Americas,2024/9/13,StartYear1缺失-需确定启动时间,MEDIUM
T0377,1,https://www.gem.wiki/Chaozhou_LNG_Terminal_(Huafeng),Chaozhou LNG Terminal (Huafeng),Expansion,Import,Shelved,China,Guangdong Huafeng Zhongtian LNG Co Ltd [100.00%],"Zhongxing Tianheng Energy Technology (Beijing) Co., Ltd. [55.00%]; Chaozhou Huafeng Group Co Ltd [44.70%]; other [0.30%]",3.0,mtpa,3,4.08,,,,,,2021.0,,Raoping SuochengTown,Asia,2024/2/14,StartYear1缺失-需确定启动时间,MEDIUM
T0380,1,https://www.gem.wiki/Fangchenggang_LNG_Terminal,Fangchenggang LNG Terminal,Phase II,Import,Shelved,China,National Pipeline Network Group Guangxi Fangchenggang Natural Gas Co Ltd [100.00%],National Petroleum and Natural Gas Pipeline Network Group Co Ltd [51.00%]; Beibu Gulf Port Co Ltd [49.00%],0.4,mtpa,0.4,0.54,,,,,,,,,Asia,2024/1/18,StartYear1缺失-需确定启动时间,MEDIUM
T0384,1,https://www.gem.wiki/Guangdong_Dapeng_LNG_Terminal,Guangdong Dapeng LNG Terminal,Expansion,Import,Proposed,China,GUANG DONG DAPENG LNG Co Ltd [100.00%],China National Offshore Oil Corp [33.00%]; Guangdong Investment Co Ltd [15.00%]; Pearl River Delta Investment Co Ltd [15.00%]; Shenzhen Gas Corp Ltd [10.00%]; Guangdong Energy Group Natural Gas Co Ltd [6.00%]; Guangzhou Development Group Inc [6.00%]; Shenzhen Energy and Gas Investment Holding Co Ltd [4.00%]; Ganghua Investment Co Ltd [3.00%]; Hong Kong Electric (Gas) Co Ltd [3.00%]; Dongguan Xin'ao Gas Co Ltd [2.50%],,,--,--,,,,,,,,Dapeng Bay,Asia,2024/2/14,CapacityInBcm/y缺失(--),MEDIUM
T0391,0,https://www.gem.wiki/Jiangmen_LNG_Terminal,Jiangmen LNG Terminal,Phase 1,Import,Shelved,China,Guangdong Guanghaiwan Energy Holdings Co Ltd [100.00%],Guangdong Energy Group Natural Gas Co Ltd [35.10%]; Guangdong Jovo Energy Group Co Ltd [30.00%]; Foran Energy Group Co Ltd [19.90%]; Taishan Dawan Enterprise Management Co Ltd [10.00%]; Jiangmen Urban Construction Investment Group Co Ltd [5.00%],3.0,mtpa,3,4.08,,,,,,,,Guanghai Bay,Asia,2024/2/15,StartYear1缺失-需确定启动时间,MEDIUM
T0391,2,https://www.gem.wiki/Jiangmen_LNG_Terminal,Jiangmen LNG Terminal,Phase 2,Import,Shelved,China,Guangdong Guanghaiwan Energy Holdings Co Ltd [100.00%],Guangdong Energy Group Natural Gas Co Ltd [35.10%]; Guangdong Jovo Energy Group Co Ltd [30.00%]; Foran Energy Group Co Ltd [19.90%]; Taishan Dawan Enterprise Management Co Ltd [10.00%]; Jiangmen Urban Construction Investment Group Co Ltd [5.00%],6.0,mtpa,6,8.16,,,,,,,,Guanghai Bay,Asia,2024/2/15,StartYear1缺失-需确定启动时间,MEDIUM
T1057,0,https://www.gem.wiki/Jieyang_LNG_Terminal_(PetroChina),Jieyang LNG Terminal (PetroChina),,Import,Shelved,China,Kunlun Energy Co Ltd [100.00%],Kunlun Energy Co Ltd [100.00%],6.5,mtpa,6.5,8.84,,,,,,,,Huilai,Asia,2024/2/14,StartYear1缺失-需确定启动时间,MEDIUM
T0953,0,https://www.gem.wiki/Quanzhou_LNG_Terminal,Quanzhou LNG Terminal,Phase 1,Import,Shelved,China,Quanzhou Honghai Petrochemical Storage Co Ltd [100.00%],Guangzhou Yuanheng Transportation Co Ltd [46.50%]; Guangzhou Anfeng Investment Co Ltd [38.00%]; Guangzhou Yuanheng Enterprise Management Co Ltd [11.60%]; other [3.90%],3.0,mtpa,3,4.08,,,,,,,,Quangang,Asia,2024/1/17,StartYear1缺失-需确定启动时间,MEDIUM
T0953,1,https://www.gem.wiki/Quanzhou_LNG_Terminal,Quanzhou LNG Terminal,Phase 2,Import,Shelved,China,Quanzhou Honghai Petrochemical Storage Co Ltd [100.00%],Guangzhou Yuanheng Transportation Co Ltd [46.50%]; Guangzhou Anfeng Investment Co Ltd [38.00%]; Guangzhou Yuanheng Enterprise Management Co Ltd [11.60%]; other [3.90%],3.0,mtpa,3,4.08,,,,,,,,Quangang,Asia,2024/1/17,StartYear1缺失-需确定启动时间,MEDIUM
T1110,0,https://www.gem.wiki/Shanwei_LNG_Terminal,Shanwei LNG Terminal,,Import,Proposed,China,unknown [unknown %],unknown [unknown %],,,--,--,,,,,,,,,Asia,2024/2/15,CapacityInBcm/y缺失(--),MEDIUM
T0944,0,https://www.gem.wiki/Zhangzhou_LNG_Terminal_(China_Energy_Reserve),Zhangzhou LNG Terminal (China Energy Reserve),,Import,Shelved,China,China Energy Reserve and Chemicals Group Company Limited [100.00%],CHINA NATIONAL FRIEND INDUSTRY CORPORATION [85.00%]; COSCO Gas Co Ltd [15.00%],3.0,mtpa,3,4.08,,,,,,,,Zhangzhou Development Zone,Asia,2024/1/17,StartYear1缺失-需确定启动时间,MEDIUM
T0960,0,https://www.gem.wiki/Aguadulce_FSRU,Aguadulce FSRU,,Import,Proposed,Colombia,Aguadulce LNG [100.00%],Aguadulce LNG [100.00%],,,--,--,,,,,,,,Bay of Buenaventura,Americas,2024/8/28,CapacityInBcm/y缺失(--),MEDIUM
T1004,0,https://www.gem.wiki/Paldiski_FSRU,Paldiski FSRU,,Import,Construction,Estonia,Estonian Stockpiling Agency [100.00%],Government of Estonia [100.00%],,,--,--,2022.0,,,,,,,Paldiski (Estonia) and Inkoo (Finland),Europe,2024/7/23,CapacityInBcm/y缺失(--),MEDIUM
T1050,0,https://www.gem.wiki/Guinea_LNG_Terminal,Guinea LNG Terminal,Import Terminal,Import,Proposed,Guinea,West Africa LNG Group [100.00%],AfricaGlobal Schaffer [100.00%],,,--,--,2023.0,,,,,,,Kamsar,Africa,2024/7/17,CapacityInBcm/y缺失(--),MEDIUM
T0433,0,https://www.gem.wiki/Gangavaram_LNG_Terminal,Gangavaram LNG Terminal,,Import,Shelved,India,Petronet LNG [100.00%],Petronet LNG [100.00%],10.0,mtpa,10,13.6,,,,,,2024.0,,Gangavaram Port,Asia,2024/6/20,StartYear1缺失-需确定启动时间,MEDIUM
T1054,0,https://www.gem.wiki/LNG_Alliance_Mangalore_FSRU,LNG Alliance Mangalore FSRU,,Import,Shelved,India,LNG Alliance [unknown %]; New Mangalore Port Trust [unknown %],"India Ministry of Ports, Shipping and Waterways [unknown %]; LNG Alliance [unknown %]",4.0,mtpa,4,5.44,,,,,,2024.0,,Mangalore,Asia,2024/6/17,StartYear1缺失-需确定启动时间,MEDIUM
T0962,0,https://www.gem.wiki/Mumbai_FSRU,Mumbai FSRU,,Import,Shelved,India,SP Armada Clean Energy Ventures [100.00%],Shapoorji Pallonji [51.00%]; Bumi Armada [49.00%],5.0,mtpa,5,6.8,,,,,,2023.0,,Mumbai Port,Asia,2024/6/17,StartYear1缺失-需确定启动时间,MEDIUM
T1164,0,https://www.gem.wiki/Gresik_LNG_Terminal,Gresik LNG Terminal,,Import,Proposed,Indonesia,BP Gas & Power Investments [unknown %]; PT AKR Corporindo [unknown %],BP [unknown %]; PT Arthakencana Rayatama [unknown %],,,--,--,2027.0,,,,,,,Gresik,Asia,2024/7/12,CapacityInBcm/y缺失(--),MEDIUM
T1070,0,https://www.gem.wiki/Palu_LNG_Terminal,Palu LNG Terminal,,Import,Shelved,Indonesia,Aslan Energy Capital [unknown %]; PT Agri Maritim Sulteng [unknown %],Government of Central Sulawesi [unknown %]; LNG Alliance [unknown %],2.0,mtpa,2,2.72,,,,,,2024.0,,Palu,Asia,2024/7/12,StartYear1缺失-需确定启动时间,MEDIUM
T1058,0,https://www.gem.wiki/Portovesme_FSRU,Portovesme FSRU,,Import,Proposed,Italy,Snam [100.00%],Snam [100.00%],,,--,--,2024.0,,,,,,,Portovesme,Europe,2024/7/31,CapacityInBcm/y缺失(--),MEDIUM
T0475,1,https://www.gem.wiki/Hibiki_LNG_terminal,Hibiki LNG Terminal,Expansion,Import,Proposed,Japan,Saibu Gas [90.00%]; Kyushu Electric Power [10.00%],Saibu Gas [90.00%]; Kyushu Electric Power [10.00%],,,--,--,2029.0,,,,,,,Kitakyushu,Asia,2024/8/27,CapacityInBcm/y缺失(--),MEDIUM
T0963,0,https://www.gem.wiki/Beddawi_FSRU,Beddawi FSRU,,Import,Shelved,Lebanon,Lebanese Ministry of Energy and Water [100.00%],Lebanese Ministry of Energy and Water [100.00%],3.5,mtpa,3.5,4.76,,,,,,2022.0,,Beddawi,Asia,2024/5/30,StartYear1缺失-需确定启动时间,MEDIUM
T1079,0,https://www.gem.wiki/Mauritius_FSRU,Mauritius FSRU,,Import,Proposed,Mauritius,unknown [unknown %],unknown [unknown %],,,--,--,,,,,,2024.0,,,Africa,2024/7/18,CapacityInBcm/y缺失(--),MEDIUM
T0824,0,https://www.gem.wiki/Morocco_FSRU,Morocco FSRU,,Import,Proposed,Morocco,"Morocco Ministry of Energy, Mining and Sustainable Development [100.00%]","Morocco Ministry of Energy, Mining and Sustainable Development [100.00%]",,,--,--,2022.0,,,,,,,Mohammedia Port,Africa,2024/6/18,CapacityInBcm/y缺失(--),MEDIUM
T1161,0,https://www.gem.wiki/Nador_FSRU,Nador FSRU,,Import,Proposed,Morocco,unknown [unknown %],unknown [unknown %],,,--,--,2026.0,,,,,,,Nador West Med Port,Africa,2024/6/19,CapacityInBcm/y缺失(--),MEDIUM
T0300,0,https://www.gem.wiki/Daewoo_Gas_LNG_Terminal,Daewoo Gas LNG Terminal,,Import,Shelved,Pakistan,Daewoo Gas [100.00%],Asiapak Investments [100.00%],2.5,mtpa,2.5,3.4,,,,,,2024.0,,Gwadar Port,Asia,2024/6/26,StartYear1缺失-需确定启动时间,MEDIUM
T1103,0,https://www.gem.wiki/Pakistan_State_Oil_LNG_Terminal,Pakistan State Oil LNG Terminal,,Import,Proposed,Pakistan,Pakistan State Oil [100.00%],Government of Pakistan [100.00%],,,--,--,,,,,,,,near Karachi,Asia,2024/6/28,CapacityInBcm/y缺失(--),MEDIUM
T0887,2,https://www.gem.wiki/Tabeer_LNG_Terminal,Tabeer LNG Terminal,Phase 2,Import,Proposed,Pakistan,Tabeer Energy (Pvt) Ltd [unknown %]; Tabeer Energy Marketing (Pvt) Ltd [unknown %],Bison Energy FZCO [unknown %],,,--,--,,,,,,,,Port Qasim,Asia,2024/6/27,CapacityInBcm/y缺失(--),MEDIUM
T1072,0,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T1,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Daru,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,1,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T2,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Lae,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,2,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T3,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Lihir,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,3,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T4,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Manus Island,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,4,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T5,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Buka Town,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,5,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T6,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Kimbe,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,6,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T7,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Alotau,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,7,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T8,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Madang,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,8,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T9,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Rabaul,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,9,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T10,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Wewak,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,10,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T11,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Kiunga,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1072,11,https://www.gem.wiki/PAWA_PNG_FSRU_Project,PAWA PNG FSRU Project,T12,Import,Proposed,Papua New Guinea,Dirio Gas & Power [unknown %]; Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],Government of Papua New Guinea [unknown %]; Twenty20 Energy [unknown %],,,--,--,,,,,,,,Kikori,Oceania,2024/5/29,CapacityInBcm/y缺失(--),MEDIUM
T1149,0,https://www.gem.wiki/Atimonan_LNG_Terminal,Atimonan LNG Terminal,,Import,Proposed,Philippines,Atimonan One Energy [100.00%],Meralco [100.00%],,,--,--,2026.0,,,,,,,Villa Ibaba,Asia,2024/7/15,CapacityInBcm/y缺失(--),MEDIUM
T0731,1,https://www.gem.wiki/Polish_Baltic_Sea_Coast_FSRU,Polish Baltic Sea Coast FSRU,Expansion (FSRU 2),Import,Shelved,Poland,Gaz-System [100.00%],PKN Orlen [100.00%],4.5,bcm/y,3.31,4.5,,,,,,2023.0,,Gdansk,Europe,2024/7/23,StartYear1缺失-需确定启动时间,MEDIUM
T1101,0,https://www.gem.wiki/Black_Sea_LNG_Terminal,Black Sea LNG Terminal,Import Facility,Import,Proposed,Romania,RomGaz [unknown %]; SOCAR [unknown %],Government of Azerbaijan [unknown %]; RomGaz [unknown %],,,--,--,,,,,,,,Constanta,Europe,2024/7/23,CapacityInBcm/y缺失(--),MEDIUM
T0265,0,https://www.gem.wiki/Coega_FSRU,Coega FSRU,,Import,Proposed,South Africa,Karpowership [100.00%],Karadeniz Holdings [100.00%],,,--,--,,,,,,2021.0,,Coega IDZ,Africa,2024/7/23,CapacityInBcm/y缺失(--),MEDIUM
T0266,0,https://www.gem.wiki/Richards_Bay_FSRU,Richards Bay FSRU,,Import,Proposed,South Africa,Karpowership [100.00%],Karadeniz Holdings [100.00%],,,--,--,,,,,,,,Richards Bay,Africa,2024/7/23,CapacityInBcm/y缺失(--),MEDIUM
T0267,0,https://www.gem.wiki/Saldanha_Bay_FSRU,Saldanha Bay FSRU,,Import,Proposed,South Africa,Karpowership [100.00%],Karadeniz Holdings [100.00%],,,--,--,,,,,,,,Saldanha Bay,Africa,2024/7/23,CapacityInBcm/y缺失(--),MEDIUM
T0891,0,https://www.gem.wiki/Northeast_Asia_LNG_Hub_Terminal,Northeast Asia LNG Hub Terminal,,Import,Construction,South Korea,Northeast Asia LNG Hub Terminal Co Ltd [100.00%],Hanyang Group [60.00%]; GS Holdings Corp [40.00%],,,--,--,2024.0,,,,,,,Myodo,Asia,2024/9/4,CapacityInBcm/y缺失(--),MEDIUM
T0970,0,https://www.gem.wiki/Hambantota_LNG_Terminal,Hambantota LNG Terminal,,Import,Shelved,Sri Lanka,Pearl Energy Pvt Ltd [unknown %]; SOCAR Trading [unknown %],Pearl Energy Pvt Ltd [unknown %]; SOCAR [unknown %],1.0,mtpa,1,1.36,,,,,,2023.0,,Port of Hambantota,Asia,2024/7/10,StartYear1缺失-需确定启动时间,MEDIUM
T0894,1,https://www.gem.wiki/Gulf_MTP_LNG_Terminal,Gulf MTP LNG Terminal,Phase II,Import,Shelved,Thailand,Gulf MPT LNG Terminal Co Ltd [100.00%],Gulf Energy Development Public Company Limited [70.00%]; PTT [30.00%],5.8,mtpa,5.8,7.89,,,,,,,,Map Ta Phut,Asia,2024/7/15,StartYear1缺失-需确定启动时间,MEDIUM
T1071,0,https://www.gem.wiki/Surat_Thani_FSRU,Surat Thani FSRU,,Import,Shelved,Thailand,EGAT [unknown %]; PTT [unknown %],EGAT [unknown %]; PTT [unknown %],5.0,mtpa,5,6.8,,,,,,2023.0,,Offshore Surat Thani,Asia,2024/7/15,StartYear1缺失-需确定启动时间,MEDIUM
T0220,0,https://www.gem.wiki/Eagle_LNG_Terminal,Eagle LNG Import Terminal,,Import,Proposed,United States,Eagle LNG Partners Jacksonville LLC [100.00%],The Energy & Minerals Group [100.00%],,,--,--,2022.0,,,,,,,Jacksonville,Americas,2024/7/8,CapacityInBcm/y缺失(--),MEDIUM
T0901,0,https://www.gem.wiki/Ca_Na_LNG_Terminal,Ca Na LNG Terminal,,Import,Proposed,Vietnam,Novatek [100.00%],Novatek [100.00%],,,--,--,2024.0,,,,,2023.0,,,Asia,2024/7/16,CapacityInBcm/y缺失(--),MEDIUM
T1175,0,https://www.gem.wiki/Nghi_Son_LNG_Terminal,Nghi Son LNG Terminal,,Import,Proposed,Vietnam,unknown [unknown %],unknown [unknown %],,,--,--,2030.0,,,,,,,Nghi Son,Asia,2024/9/11,CapacityInBcm/y缺失(--),MEDIUM
T1060,0,https://www.gem.wiki/Vung_Ang_LNG_Terminal,Vung Ang LNG Terminal,,Import,Proposed,Vietnam,unknown [unknown %],unknown [unknown %],,,--,--,,,,,,,2023.0,Kỳ Lợi commune,Asia,2024/7/16,CapacityInBcm/y缺失(--),MEDIUM
T1162,0,https://www.gem.wiki/Dakhla_LNG_Terminal,Dakhla LNG Terminal,,Import,Proposed,Western Sahara,unknown [unknown %],unknown [unknown %],,,--,--,2030.0,,,,,,,,Africa,2024/6/19,CapacityInBcm/y缺失(--),MEDIUM
